Fragment.ID	GSM27015.26.M	GSM27016.26.M	GSM27018.29.M	GSM27021.37.M	GSM27023.40.M	GSM27024.42.M	GSM27025.45.M	GSM27027.52.M	GSM27028.53.M	GSM27031.66.M	GSM27032.70.M	GSM27034.73.M	GSM27035.77.M	GSM27036.80.M	GSM27038.85.M	GSM27040.90.M	GSM27042.91.M	GSM27043.95.M	GSM27017.27.F	GSM27019.30.F	GSM27020.36.F	GSM27022.38.F	GSM27026.48.F	GSM27029.56.F	GSM27030.61.F	GSM27033.71.F	GSM27037.81.F	GSM27039.87.F	GSM27041.90.F	GSM27044.106.F
32403_at	76.2787	76.6709	72.0174	111.515	87.5107	74.9424	44.3003	46.2836	40.2692	41.4601	52.4108	64.1	67.931	48.1897	30.6036	58.037	47.0812	102.237	124.951	40.6325	62.4272	79.7921	26.8155	68.4606	77.5805	32.7762	44.7483	41.78	63.549	72.3431
32404_at	503.524	542.468	380.289	638.093	1004.84	798.08	761.707	755.254	766.857	808.326	863.726	915.686	923.22	661.531	807.979	553.473	488.706	1987.01	1279.58	431.828	579.911	699.368	548.039	776.802	775.191	656.211	444.154	675.545	1077.06	1330.47
32405_at	31.7076	36.3976	38.6612	36.8034	51.4649	45.7682	49.5248	16.9937	66.6107	14.3234	87.4404	19.728	184.143	32.2193	25.5682	89.3623	32.3212	28.483	17.9252	19.9457	35.5148	71.3091	26.2101	106.478	65.6689	62.6093	106.655	32.2616	36.3931	81.1456
32406_at	92.8008	59.9451	51.8902	49.8642	40.3274	50.3114	41.8728	25.5137	64.4208	50.8665	51.2099	24.6597	54.0354	35.7314	24.0819	65.3158	32.594	29.4941	43.2755	38.4087	36.3137	43.062	39.5911	47.3259	48.2358	53.7384	77.8105	39.4522	48.9994	38.2085
32407_f_at	628.217	578.826	606.809	610.05	598.164	670.355	769.786	552.867	819.86	556.044	677.202	597.375	779.791	535.304	734.317	710.44	499.945	419.551	469.916	644.861	630.488	609.556	963.682	636.781	697.37	857.914	737.978	599.973	786.172	651.634
32408_s_at	1111.15	1239.05	689.625	886.127	652.931	727.099	769.752	843.255	949.829	958.514	654.005	493.798	1008.78	613.527	1064.52	1147.69	709.497	668.322	685	723.912	1053.21	789.804	686.582	818.889	773.581	680.235	1125.19	727.484	651.909	1092.3
32409_at	1139.62	978.204	1105.15	1366.61	1021.75	885.623	1029.73	899.496	1120.26	1121.46	1199.97	1036.83	1221.66	1288.72	851.186	1198.66	946.619	980.906	853.83	990.331	1156.53	1069.9	1154.77	1272.41	900.667	1081.93	1147.64	1049.49	1288.07	1414.35
32410_at	161.954	123.856	172.319	170.44	96.2585	278.93	283.117	110.704	269.483	106.258	131.854	128.193	194.513	184.066	183.791	129.189	221.87	87.9473	227.956	201.176	112.745	135.712	175.091	156.092	100.538	178.692	162.591	160.418	125.271	69.7861
32411_at	11.5421	11.5763	15.4417	38.3347	18.7115	16.1659	0.001	9.90081	12.1094	7.70528	23.1478	11.9513	14.7837	12.5149	10.4448	24.6161	14.2026	30.1979	29.7628	15.7679	14.8536	18.3606	13.4335	11.0798	7.67828	21.2873	16.1684	23.159	5.61418	8.67057
32412_at	4309.64	4091.19	3299.78	4219.65	3277.31	3266.27	3770.4	5070.24	3728.9	4879.61	3326.18	4929.3	3295.61	3875.36	3930.86	4014.8	4030.02	3700	3076.8	3363.85	3948.2	4072.3	3668.73	3237.32	3774.05	3739.71	4428.03	3976.26	3169.81	3596.05
