row.names	control.diet.19300	control.diet.19301	control.diet.19302	control.diet.19303	control.diet.19304	control.diet.19305	ketogenic.diet.19306	ketogenic.diet.19307	ketogenic.diet.19308	ketogenic.diet.19309	ketogenic.diet.19310
1398443_at	18.2645	23.1366	20.4944	24.0241	24.9264	27.9515	19.9178	15.9834	25.9493	13.655	14.7724
1390345_at	402.694	489.403	662.877	518.45	548.358	471.927	467.769	450.298	371.274	332.628	447.6
1390346_at	70.3896	55.0636	34.2848	41.7916	22.5554	35.6565	50.6531	31.4647	39.3714	26.8525	35.8537
1376477_at	6.08137	4.07748	26.696	8.02765	4.41145	21.7527	28.1866	12.9517	16.9908	43.1002	38.4367
1376478_at	138.472	175.128	125.09	117.954	101.169	129.47	108.111	70.8921	75.2287	77.0856	77.503
1390347_at	15.2046	8.95766	9.40291	20.8717	10.5181	5.7435	31.9186	5.86644	9.2299	16.6339	16.2642
1376479_at	187.509	218.185	217.617	200.879	160.682	209.315	123.88	125.434	205.501	117.819	159.527
1376480_at	11.4056	34.0867	40.7069	24.7496	11.0556	38.4266	24.0225	15.8924	6.19174	14.4097	7.45002
1390348_at	106.193	95.361	123.094	88.8371	109.573	76.2467	92.5639	57.3941	84.3959	61.4959	95.1942
1376481_at	6.23878	5.54508	7.39758	25.4756	7.19291	7.70611	4.09451	5.77906	6.10635	12.1976	4.27874
1376482_at	27.9372	9.7533	29.077	18.846	26.3376	19.1493	11.1158	18.0159	9.47397	25.2305	31.9504
1390349_at	15.8207	16.3325	12.446	14.2676	10.3739	9.80589	27.5527	10.8144	32.038	8.72274	10.5664
1376483_at	71.0683	60.7998	50.6193	83.3887	63.6953	40.2972	77.0504	74.619	46.9425	55.1988	71.4205
1376484_at	68.0862	66.0963	57.0025	54.9832	62.5771	66.8279	47.0379	37.5031	66.6374	39.6087	41.7359
1390350_at	106.557	117.02	144.35	103.201	106.581	128.377	84.5812	109.79	145.479	116.749	118.631
1376485_at	86.1534	76.8908	63.5734	85.1966	73.0741	75.1322	67.0506	49.3459	80.3131	64.2415	70.9452
1376486_at	455.233	546.27	447.568	442.72	373.808	458.505	396.944	462.265	489.147	425.093	437.687
1390351_at	70.7309	76.1582	77.3161	73.2356	88.6609	59.0458	80.0465	86.1984	86.8524	112.571	94.1362
1376487_at	62.3438	65.6488	59.5936	61.5926	64.744	48.1862	80.6822	55.6161	46.9965	59.4502	72.1116
1376488_at	93.1461	83.8722	90.7883	110.056	96.3832	97.3849	124.494	85.8257	94.6392	123.423	124.309
1390352_at	37.7399	37.6374	67.8112	31.5274	22.8592	31.3081	69.7488	55.2005	61.0605	54.763	55.0533
1376489_at	265.156	233.216	216.229	250.6	267.249	222.72	193.646	196.569	223.489	237.217	235.454
1376490_at	126.603	98.3015	115.514	121.859	90.8235	92.2495	106.82	85.731	100.137	99.4693	90.0597
1390353_at	12.9741	8.74013	12.1194	15.3241	14.5351	15.8365	18.8386	12.17	8.4733	7.6351	18.6053
1376491_a_at	7.37233	7.07328	6.21484	5.89924	6.57923	7.26178	7.50008	6.51703	6.03698	5.01052	6.02634
1376492_at	198.774	178.348	195.18	201.795	168.499	190.978	159.825	159.156	161.412	158.706	139.872
1390354_at	3.36788	6.53408	4.18007	3.06109	7.69737	3.43664	3.95269	2.88631	3.47083	3.5994	3.6529
1376493_at	14.6412	15.0411	14.0495	10.9854	14.1104	18.8551	10.1928	11.8996	17.826	12.565	15.3825
1390355_at	62.281	47.5899	38.7632	37.0732	36.9794	48.3327	49.233	44.2059	59.5474	55.7471	79.0603
1376494_at	76.7976	71.6152	85.5502	58.6771	67.8556	80.5235	54.2143	66.6877	46.5241	44.3875	69.3593
1376495_at	115.874	108.424	44.8895	85.3628	70.7057	116.9	124.223	113.15	113.235	134.031	98.3005
1390356_at	826.322	693.113	718.988	778.807	847.112	773.452	955.354	898.379	788.558	903.889	845.322
1376496_at	4.76403	3.48675	6.98784	6.75099	14.9906	5.09097	10.7429	4.34056	12.6273	2.35584	0.927929
1376497_a_at	7.97749	14.8485	16.2271	12.2029	15.7252	15.3994	19.2945	14.425	18.0831	17.3877	16.0442
1390357_at	250.679	247.195	232.382	205.352	209.053	249.596	145.57	147.812	255.726	176.061	154.525
1376498_at	215.387	231.611	208.806	213.527	230.565	244.828	216.13	177.83	225.146	252.425	225.754
1376499_at	44.2461	68.24	57.6514	63.1973	64.6934	78.4456	65.491	51.4635	78.1336	46.9766	66.8173
1390358_at	428.645	417.243	428.126	450.586	426.501	475.186	380.207	421.683	443.29	379.985	393.991
1376500_at	509.965	459.18	505.806	468.04	461.675	451.071	490.601	456.759	532.595	416.018	475.759
1376501_at	5.05707	5.99109	4.1345	4.84787	5.47119	9.23766	5.01464	3.53094	4.90353	3.8595	4.36154
1376502_at	93.2758	88.8776	88.4961	86.9496	99.1386	94.1802	66.1362	64.145	74.797	65.9153	81.6268
1376503_a_at	17.6812	9.61936	30.4615	17.0245	18.9095	18.0674	24.0993	5.84866	7.90348	8.40676	14.5744
1376504_at	256.143	354.454	328.64	282.567	284.327	287.359	295.004	359.482	339.472	311.927	299.651
1390359_at	13.7893	13.6675	10.247	5.00481	23.4627	17.7112	21.0967	1.63969	4.27465	2.76626	11.4724
1390360_a_at	11.3237	7.69365	11.9681	6.66569	5.85183	11.8075	34.5028	32.3604	13.2819	55.8687	39.0692
1376505_at	5.08036	4.91204	4.40722	4.234	3.49985	4.00911	2.9991	3.8778	4.42556	2.90091	3.95799
1376506_at	25.547	26.9278	26.9782	28.1206	27.1923	24.3972	34.6663	5.78376	24.3209	12.0609	25.6126
1390361_at	61.257	50.8445	59.9597	54.0089	53.5384	47.2876	61.5992	49.7773	64.2769	54.5311	83.1599
1376507_a_at	23.9732	45.4885	65.6006	47.2081	57.9719	18.2691	31.9072	33.1364	43.6636	13.0947	22.7362
1376508_at	40.7335	26.4008	34.6022	35.8966	41.676	28.3168	26.2794	29.9678	34.7829	25.2285	24.7123
1390362_at	51.5633	54.2161	63.2528	63.2005	60.6775	99.6118	50.4083	51.1726	37.8648	57.6012	55.1273
1376509_at	26.5319	13.1193	44.1673	13.0364	7.75092	14.1597	3.70013	1.22005	37.3649	1.94992	13.182
1376510_at	10.1942	9.03115	10.0438	9.74598	12.0962	18.5276	10.6986	5.72877	10.967	21.2084	13.0582
1390363_at	51.4681	47.4291	53.8775	51.1589	70.5105	20.9452	50.5682	15.8088	33.6702	50.0559	48.4249
1376511_at	69.1203	55.1987	95.422	90.8482	84.6286	58.1791	87.3596	74.2621	85.4591	65.8265	71.8875
1376512_at	45.2367	64.6064	64.2471	35.438	35.7018	45.6011	48.4703	45.0978	44.0536	30.0111	34.5922
1390364_at	79.1203	129.727	89.7612	72.9595	69.8512	95.9558	72.0575	74.7132	86.5853	65.2907	59.5976
1376513_a_at	30.8946	35.2817	38.6796	20.9503	20.1421	38.9503	24.2755	3.59473	24.8596	22.6204	10.0373
1376514_at	87.2363	126.771	125.147	112.122	97.8013	129.655	67.3066	61.3906	132.833	62.7384	67.6892
1390365_at	2.04884	2.14846	2.69887	1.77201	2.59869	2.47214	2.37399	3.2027	2.63743	2.64147	2.387
1376515_at	31.2745	33.4237	28.1875	20.6079	24.3216	18.5804	21.2701	26.8206	23.2014	16.9267	26.108
1398444_at	39.6079	33.8362	31.5367	32.44	23.1057	34.8728	28.796	28.6318	22.1272	27.4357	25.6816
1390366_at	96.3262	90.0321	116.232	98.7961	101.764	96.4524	89.3774	70.9019	103.841	80.0635	82.6743
1376516_at	110.128	99.9125	103.141	100.822	112.643	80.8812	95.7905	134.367	131.162	105.483	97.1276
1376517_at	44.4381	38.0081	39.3927	32.9736	45.9594	42.5425	49.2275	32.9501	25.7693	27.0471	45.7605
1390367_at	59.2405	80.8467	79.9737	64.7907	74.1257	58.3075	71.8691	51.6717	49.1269	47.4875	51.764
1376518_at	39.0639	71.9709	56.525	76.9158	85.6669	93.8715	66.9822	60.3173	76.8971	60.446	59.9937
1376519_at	171.689	216.203	223.859	182.604	165.027	191.732	172.349	167.614	192.93	153.987	163.729
1376520_at	104.592	102.209	107.262	119.707	116.562	124.966	97.2647	100.414	127.15	107.431	99.6702
1376521_at	20.693	56.2041	69.5365	47.3374	16.1014	43.1157	18.3151	45.5086	33.7747	29.5305	31.6063
1376522_at	45.4329	49.7355	58.6534	56.9856	58.1158	45.3546	57.791	41.7619	71.567	42.548	48.8683
1390368_at	21.9875	18.1133	26.473	25.4113	34.6444	23.9237	33.0612	26.656	23.1881	23.7554	22.2217
1390369_at	88.0328	93.3171	94.5685	82.9545	86.603	104.165	120.302	97.6255	113.768	92.1362	134.818
1376523_at	80.4636	99.803	99.1059	84.7836	96.6076	97.0486	115.202	107.712	77.7802	92.5678	102.883
1376524_at	24.1829	24.42	26.2939	23.4063	33.8087	22.7897	29.0441	27.4723	18.1655	26.8538	52.4526
1390370_at	2.89175	23.8631	22.0742	20.408	42.3479	22.8827	11.6737	13.1482	40.5976	13.9882	6.42652
1376525_at	66.4881	58.684	49.5691	47.7675	49.8816	75.8485	58.5479	48.9359	54.9492	39.0082	63.0301
1376526_at	18.8287	31.3671	30.1484	28.4846	34.9835	41.4755	29.0372	35.0737	36.9492	18.5559	30.7759
1390371_at	22.1751	18.6612	19.9057	13.1367	15.4249	16.4174	12.8595	12.6087	6.55383	20.5965	10.647
1376527_at	27.5221	10.0065	3.6162	13.9962	3.62754	6.91079	13.1286	4.39816	4.76301	6.77468	4.3217
1376528_at	90.0768	110.145	129.47	76.5185	87.3927	118.348	73.3549	50.2219	89.3284	63.8325	61.7931
1390372_at	45.2314	48.0859	42.5877	44.8236	53.0872	34.9505	52.9748	50.5649	50.6434	43.3579	65.7193
1376529_at	42.7142	31.4146	33.906	25.4589	39.9166	38.2725	48.8576	28.298	6.10115	20.6759	7.58411
1376530_at	2.64633	2.52766	1.9574	3.03524	1.81497	2.80337	1.88973	2.27872	1.23827	2.30891	2.41158
1390373_at	11.6388	23.7352	15.2606	17.7138	31.1395	15.3529	14.2731	17.3161	2.61582	19.6804	23.0421
1376531_at	121.65	124.393	123.521	151.696	131.475	109.772	147.787	75.6976	95.5968	121.589	92.125
1376532_at	6.19634	37.2162	8.44447	16.4555	25.4113	31.0338	23.0861	21.5715	10.5513	28.1148	22.0393
1390374_at	241.877	104.166	210.887	209.798	201.559	131.754	101.735	132.255	279.205	118.788	131.427
1376533_at	19.2986	14.024	25.4708	9.32685	27.2794	37.2765	23.1362	31.3653	22.2441	19.6756	24.7411
1376534_at	93.2999	93.2024	119.524	104.462	94.345	106.619	84.4214	33.8578	93.4063	66.4269	74.5105
1390375_at	107.002	78.7969	78.7699	75.7277	71.4872	87.7676	112.85	98.4027	98.0326	105.354	128.01
1376535_at	51.7403	55.0977	48.5422	38.7132	46.3564	59.423	41.6581	62.6114	61.5478	36.4001	45.751
1376536_at	18.1833	14.333	12.26	10.4836	11.6607	17.0375	13.6172	22.2476	4.28052	18.4162	8.75458
1390376_at	26.1557	34.2202	34.4364	34.3025	23.026	23.5666	38.7483	23.4043	48.6155	29.2032	37.7509
1376537_at	86.3996	80.7253	73.5207	81.6138	76.1283	75.6207	91.6182	87.8983	68.2899	92.4487	95.9265
1376538_at	2.9195	4.38077	1.78419	5.27806	13.9012	17.0476	3.36362	1.46942	4.44615	2.6449	2.08728
1390377_at	0.612774	0.991898	0.543531	0.510985	0.635181	0.679775	1.41376	0.683255	0.699032	0.389035	1.24787
1376539_at	7.71276	3.51662	4.22523	5.61332	5.09093	5.49163	7.12196	4.93678	5.58241	4.13606	1.8392
1376540_at	21.9537	19.875	16.2991	20.3009	23.2881	16.9263	21.4071	13.5156	20.8784	15.1861	21.8181
1390378_at	51.8648	48.0071	59.2563	58.7352	58.0578	59.1011	67.7214	61.769	54.8298	61.8206	62.6178
1376541_at	32.3242	47.4594	9.35945	30.0647	21.831	2.74484	10.6828	42.1472	1.71752	13.8484	27.3629
1376542_at	2.07545	1.58899	2.02352	1.84663	1.6053	1.9272	2.74472	1.67046	1.32068	1.04315	3.08468
1390379_at	189.304	255.661	287.771	262.826	219.189	221.034	192.343	192.193	230.767	191.675	169.156
1376543_at	3.55225	8.48038	2.1123	9.45793	17.0819	11.4805	6.58283	5.83619	5.70626	4.28468	5.30193
1376544_at	10.6037	4.61285	4.55515	12.3676	4.93451	17.9886	19.7825	14.1393	3.56621	2.71153	10.2812
1376545_at	69.3068	74.1955	86.3929	72.2451	64.3625	79.5046	58.8626	43.7383	53.9721	42.8305	53.2081
1376546_at	68.6323	66.2967	72.8123	74.2705	97.0953	64.3431	79.4638	80.4078	79.1127	85.3962	86.1862
1376547_at	6.31645	6.74684	6.70446	6.42628	5.16035	7.19441	6.97799	5.55521	6.30123	5.52811	6.77644
1376548_at	5.20395	2.84187	9.48333	14.8797	5.38701	4.53094	25.8977	2.71344	8.83977	3.82419	2.59025
1398445_at	140.515	148.577	134.501	161.673	131.464	118.038	141.965	175.759	164.381	248.478	128.384
1376549_at	25.3992	29.0375	28.0452	25.6835	36.5536	41.34	18.0158	3.43003	31.1142	8.76589	27.7201
1376550_at	21.1299	21.0865	16.192	22.1433	16.3276	12.6494	27.5072	6.39938	21.3549	18.9837	15.7928
1376551_at	51.4633	47.834	22.5991	63.3895	54.0134	37.5775	65.295	30.8082	51.6338	66.2701	10.9817
1376552_at	13.9791	7.96712	12.2484	22.8446	7.64761	6.87677	17.2861	5.61816	18.9725	4.51185	3.30482
1376553_at	129.784	132.86	100.459	98.14	137.26	144.223	84.985	86.8767	135.655	81.7261	101.469
1376554_at	1.97506	2.5153	12.6321	12.9272	7.22711	18.9742	11.8957	13.941	5.62038	10.4648	18.0231
1376555_at	18.8867	12.8104	31.7037	33.7249	26.7944	21.5879	23.6569	21.4217	35.1853	20.4122	29.1273
1376556_at	55.8155	59.8669	18.8675	70.0534	63.2909	15.6719	63.8367	35.5316	16.6528	32.17	33.2117
1376557_at	6.20455	1.29953	10.4196	1.77257	2.18183	1.18477	1.56455	9.57613	1.12881	1.43565	13.9465
